dim0,dim1,word,word_most_similar,coords,word_most_similar_indices
-0.6533504,-0.7612206,why,"['what', 'think', 'mean', 'know']","(-0.6533504128456116, -0.7612205743789673)","[0, 311, 1122, 136]"
-0.341866,-0.26276731,here,"['there', 'we']","(-0.34186598658561707, -0.26276731491088867)","[208, 395]"
-0.14520979,-0.29436097,bring,"['come', 'give', 'brought', 'send', 'help', 'put']","(-0.14520978927612305, -0.2943609654903412)","[207, 104, 368, 685, 351, 726]"
-0.8062395,-0.46172076,give,"['get', 'bring', 'take', 'send']","(-0.8062394857406616, -0.4617207646369934)","[199, 103, 202, 685]"
0.94860524,-0.54750234,mighty,['nein'],"(0.9486052393913269, -0.547502338886261)",[106]
0.88349086,-0.55375147,nein,['mighty'],"(0.8834908604621887, -0.5537514686584473)",[105]
0.3032107,-0.980833,master,[],"(0.30321070551872253, -0.9808329939842224)",[]
0.72761583,0.31375453,plane,"['material', 'elemental']","(0.7276158332824707, 0.31375452876091003)","[823, 819]"
0.6627034,-0.2960406,evil,"['ancient', 'entity']","(0.6627033948898315, -0.2960405945777893)","[15, 734]"
-0.50231975,-0.1111844,nine,"['seven', 'six', 'eight', 'total', 'ten', 'four', 'five', 'points', 'three']","(-0.5023197531700134, -0.11118440330028534)","[488, 447, 274, 988, 424, 528, 446, 755, 517]"
0.09125421,-0.041722752,fjord,"['caduceus', 'beau', 'yasha', 'jester', 'caleb', 'molly', 'nott', 'beauregard', 'avantika']","(0.09125421196222305, -0.041722752153873444)","[876, 861, 859, 858, 211, 1004, 857, 991, 990]"
-0.16881546,-0.12175286,him,"['them', 'me', 'her']","(-0.1688154637813568, -0.12175285816192627)","[90, 1062, 35]"
0.025624612,-0.15304802,he,"['she', 'him', 'it', 'that', 'percy']","(0.025624612346291542, -0.15304802358150482)","[41, 112, 74, 28, 291]"
0.38555145,-0.44721523,was,"['wasn', 'is', 'were', 'had', 'knew', 'looked']","(0.38555145263671875, -0.4472152292728424)","[327, 6, 140, 125, 675, 233]"
-0.081846,0.805421,eye,"['eyes', 'keeping']","(-0.08184599876403809, 0.805420994758606)","[177, 687]"
0.33058947,0.24283417,his,"['her', 'its']","(0.3305894732475281, 0.2428341656923294)","[35, 73]"
-0.08606567,0.15764476,very,"['pretty', 'really', 'too']","(-0.08606567233800888, 0.15764476358890533)","[1047, 728, 459]"
-0.17353924,0.21221438,at,['towards'],"(-0.17353923618793488, 0.2122143805027008)",[332]
-0.23234515,0.13234262,point,"['least', 'moment', 'time', 'distance']","(-0.23234514892101288, 0.1323426216840744)","[189, 252, 314, 153]"
-0.18265942,-0.019709544,but,"['actually', 'though', 'because', 'that', 'quite', 'it', 'unfortunately', 'even', 'mean']","(-0.18265941739082336, -0.019709544256329536)","[801, 195, 816, 28, 725, 74, 780, 739, 1122]"
-0.272923,0.1465686,now,"['still', 'all', 'so', 'currently']","(-0.27292299270629883, 0.14656859636306763)","[387, 232, 267, 1104]"
1.0691932,0.24881937,city,"['town', 'emon', 'kraghammer']","(1.0691932439804077, 0.24881936609745026)","[331, 681, 221]"
0.605192,-0.17848292,after,"['before', 'later', 'during', 'upon', 'final']","(0.6051920056343079, -0.17848291993141174)","[302, 253, 814, 365, 655]"
0.487449,0.057573885,obann,"['yasha', 'laughing', 'fjord']","(0.4874489903450012, 0.05757388472557068)","[859, 1152, 111]"
0.65753555,-0.30641896,had,"['has', 'previously', 've', 'been', 'have', 'was', 'discovered']","(0.6575355529785156, -0.3064189553260803)","[10, 439, 403, 11, 97, 114, 855]"
-0.17341,-0.16115513,giving,"['gave', 'give', 'putting', 'gives', 'getting']","(-0.17340999841690063, -0.16115513443946838)","[316, 104, 812, 420, 737]"
1.375537,-0.4527179,dwendalian,['empire'],"(1.3755370378494263, -0.4527179002761841)",[128]
1.0366131,-0.54557496,empire,"['dwendalian', 'dynasty', 'xhorhas']","(1.0366131067276, -0.545574963092804)","[127, 848, 835]"
0.45196605,0.03787975,being,"['having', 'completely', 'was']","(0.4519660472869873, 0.03787975013256073)","[352, 448, 114]"
-0.26504022,-0.76063263,saying,"['said', 'says', 'asking', 'telling', 'told']","(-0.26504021883010864, -0.7606326341629028)","[137, 297, 533, 809, 261]"
-0.4758577,-0.92964107,done,['seen'],"(-0.4758577048778534, -0.92964106798172)",[224]
-0.26377904,-0.3372102,things,"['people', 'stuff']","(-0.26377904415130615, -0.33721020817756653)","[329, 1097]"
-0.63685834,-0.7520269,didn,"['did', 'don', 'doesn', 'won', 'wouldn']","(-0.636858344078064, -0.7520269155502319)","[298, 512, 723, 754, 724]"
-0.45154586,-0.6458062,remember,"['know', 'tell', 'think', 'mean', 'said']","(-0.4515458643436432, -0.6458061933517456)","[136, 778, 311, 1122, 137]"
-0.45965192,-0.5969272,how,"['too', 'what', 'why', 'mean']","(-0.459651917219162, -0.5969272255897522)","[459, 0, 101, 1122]"
-0.57333153,-0.67869073,know,"['think', 'mean', 'remember']","(-0.5733315348625183, -0.6786907315254211)","[311, 1122, 134]"
-0.36056492,-0.7698035,said,"['thought', 'knew', 'saying', 'told', 'say']","(-0.3605649173259735, -0.769803524017334)","[362, 675, 130, 261, 684]"
0.2810919,-0.42745826,felt,"['feels', 'feeling']","(0.2810918986797333, -0.427458256483078)","[546, 617]"
-0.4755442,-0.3834106,if,"['anything', 'because', 'think', 'unless', 'actually']","(-0.4755442142486572, -0.38341060280799866)","[289, 816, 311, 1079, 801]"
0.46528748,-0.26095626,were,"['are', 'was', 're', 'had', 'aren', 'saw', 'came']","(0.4652874767780304, -0.2609562575817108)","[50, 114, 350, 125, 1057, 414, 793]"
-0.96356755,-0.12365276,going,"['gonna', 'trying', 'll', 'want', 'will', 'try']","(-0.9635675549507141, -0.12365276366472244)","[1196, 811, 630, 3, 541, 574]"
-0.60083824,-0.5068559,crazy,['weird'],"(-0.6008382439613342, -0.5068559050559998)",[1158]
0.5705432,-0.029331353,himself,"['his', 'herself']","(0.5705432295799255, -0.029331352561712265)","[116, 452]"
-0.06594674,0.76950747,head,['face'],"(-0.06594674289226532, 0.7695074677467346)",[552]
-0.054460775,0.38524392,against,"['attacks', 'attack']","(-0.05446077510714531, 0.3852439224720001)","[518, 520]"
-0.24818964,1.3362559,wall,"['side', 'top']","(-0.24818964302539825, 1.3362559080123901)","[197, 456]"
0.9209676,0.0414141,party,"['group', 'vox']","(0.9209675788879395, 0.04141410067677498)","[273, 200]"
0.016606852,0.10132403,some,"['sort', 'lot', 'any']","(0.016606852412223816, 0.10132402926683426)","[608, 321, 257]"
0.35422784,0.7033017,form,[],"(0.35422784090042114, 0.703301727771759)",[]
-0.069773644,-0.34374627,mind,[],"(-0.06977364420890808, -0.34374627470970154)",[]
0.380794,-0.1759401,control,['under'],"(0.3807939887046814, -0.17594009637832642)",[192]
0.39977923,0.39666945,from,"['within', 'of', 'away', 'in', 'and']","(0.39977923035621643, 0.3966694474220276)","[61, 18, 427, 17, 31]"
-0.10874362,0.80378735,distance,['hear'],"(-0.10874362289905548, 0.803787350654602)",[544]
-1.0433917,-0.34181976,liam,"['sam', 'marisha', 'travis', 'laura', 'taliesin', 'ashley', 'matt', 'noelle', 'orion', 'mary']","(-1.0433917045593262, -0.34181976318359375)","[1078, 927, 1071, 1085, 1014, 1091, 1064, 1192, 1081, 1191]"
-0.16201358,-1.0219446,critical,['role'],"(-0.16201357543468475, -1.0219446420669556)",[156]
0.2685862,-1.0168304,role,['critical'],"(0.2685861885547638, -1.0168304443359375)",[155]
-0.65315515,-0.5026852,extra,[],"(-0.6531551480293274, -0.5026851892471313)",[]
0.52248687,-0.10951149,inn,['tavern'],"(0.5224868655204773, -0.10951148718595505)",[206]
0.46928233,1.3226023,red,"['green', 'blue', 'black', 'white']","(0.469282329082489, 1.3226022720336914)","[932, 37, 38, 774]"
0.021438489,0.06647733,keeps,"['puts', 'walks', 'keeping', 'keep']","(0.021438488736748695, 0.06647732853889465)","[650, 647, 687, 320]"
-0.07095418,0.87985325,pulled,['pulling'],"(-0.07095418125391006, 0.8798532485961914)",[1153]
-0.36196962,0.568891,bit,['little'],"(-0.36196961998939514, 0.5688909888267517)",[701]
0.20831046,-0.44607288,captain,"['crew', 'ship', 'avantika']","(0.20831045508384705, -0.44607287645339966)","[194, 182, 990]"
0.57812667,0.07515555,woman,"['female', 'young', 'halfling', 'girl', 'man']","(0.5781266689300537, 0.07515554875135422)","[26, 170, 295, 998, 551]"
0.450433,0.11813821,sea,['ocean'],"(0.45043298602104187, 0.11813820898532867)",[1171]
-0.12723377,0.9287969,air,"['water', 'ashari']","(-0.12723377346992493, 0.9287968873977661)","[881, 895]"
0.8155744,0.7005195,sun,"['tree', 'sky']","(0.8155744075775146, 0.7005195021629333)","[411, 419]"
0.24532631,0.25508896,where,"['what', 'entrance']","(0.24532631039619446, 0.2550889551639557)","[0, 691]"
-0.3488971,0.65332675,looks,"['look', 'looking', 'looked', 'seems']","(-0.3488970994949341, 0.6533267498016357)","[623, 209, 233, 229]"
0.5245084,-0.20449491,young,"['girl', 'woman', 'female', 'named']","(0.5245084166526794, -0.204494908452034)","[998, 164, 26, 215]"
-0.32840103,-0.25610146,probably,"['maybe', 'think', 'guess', 'actually', 'definitely']","(-0.32840102910995483, -0.25610145926475525)","[760, 311, 1154, 801, 394]"
0.5488445,-0.3447627,early,['morning'],"(0.5488445162773132, -0.3447627127170563)",[536]
0.119003505,1.3205397,skin,['gray'],"(0.11900350451469421, 1.3205397129058838)",[1024]
0.3774096,-0.66635436,days,"['weeks', 'hours', 'months', 'minutes', 'years', 'ago']","(0.37740960717201233, -0.6663543581962585)","[301, 761, 217, 699, 190, 218]"
0.42754835,-0.81691694,spent,"['spend', 'months', 'weeks']","(0.427548348903656, -0.8169169425964355)","[1002, 217, 301]"
0.41198635,0.6634156,beginning,"['starting', 'begin', 'slowly', 'begins']","(0.4119863510131836, 0.6634156107902527)","[1162, 82, 485, 440]"
-0.18484636,0.99047107,eyes,['face'],"(-0.18484635651111603, 0.9904710650444031)",[552]
-0.17635964,1.0526958,light,[],"(-0.1763596385717392, 1.0526957511901855)",[]
-0.7042192,0.19993773,just,"['it', 'actually']","(-0.7042192220687866, 0.19993773102760315)","[74, 801]"
-0.23405576,0.008506325,high,[],"(-0.234055757522583, 0.00850632507354021)",[]
0.23557954,-0.8047475,name,['friend'],"(0.23557953536510468, -0.8047475218772888)",[865]
0.1692579,0.35563093,ship,"['eater', 'crew', 'boat', 'captain']","(0.16925789415836334, 0.35563093423843384)","[1039, 194, 1077, 163]"
0.08994927,-0.69268036,may,"['might', 'would', 'will', 'must', 'could']","(0.08994927257299423, -0.6926803588867188)","[718, 71, 541, 514, 259]"
-0.15553924,0.062223166,this,"['that', 'it', 'actually']","(-0.15553924441337585, 0.0622231662273407)","[28, 74, 801]"
-0.14365208,-0.9275445,never,"['ever', 'wouldn', 'already', 've']","(-0.143652081489563, -0.9275444746017456)","[508, 724, 949, 403]"
0.071616486,-0.31860733,also,"['only', 'if', 'already']","(0.07161648571491241, -0.3186073303222656)","[388, 139, 949]"
1.8688688,-0.4049704,tal,"['dorei', 'council']","(1.8688688278198242, -0.4049704074859619)","[188, 956]"
1.944764,-0.4421009,dorei,"['tal', 'council']","(1.9447640180587769, -0.4421009123325348)","[187, 956]"
0.068095796,-0.28730717,least,"['point', 'probably', 'or']","(0.06809579581022263, -0.28730717301368713)","[119, 171, 8]"
0.87443835,-0.75931644,years,"['months', 'year', 'ago', 'weeks', 'days']","(0.8744383454322815, -0.7593164443969727)","[217, 938, 218, 301, 174]"
-0.039516024,-0.63126105,experience,['players'],"(-0.03951602429151535, -0.6312610507011414)",[1070]
0.3382584,0.26206082,under,"['control', 'part']","(0.33825838565826416, 0.26206082105636597)","[151, 382]"
-0.42756975,-0.3505957,well,"['mean', 'actually']","(-0.42756974697113037, -0.35059571266174316)","[1122, 801]"
0.2185735,-0.36154106,crew,"['ship', 'captain', 'eater']","(0.21857349574565887, -0.3615410625934601)","[182, 163, 1039]"
-0.17805977,-0.17065477,though,"['but', 'because', 'even', 'although', 'still', 'actually', 'not', 'that']","(-0.17805977165699005, -0.1706547737121582)","[120, 816, 739, 307, 387, 801, 66, 28]"
-0.12565756,0.6725068,runs,"['walks', 'moves']","(-0.1256575584411621, 0.6725068092346191)","[647, 629]"
-0.072931476,1.3696189,side,"['edge', 'wall', 'top', 'sides']","(-0.07293147593736649, 1.3696188926696777)","[315, 146, 456, 559]"
0.69698364,-0.33878216,following,"['continue', 'next', 'follow']","(0.6969836354255676, -0.3387821614742279)","[374, 264, 435]"
-0.71679646,-0.10522709,get,"['give', 'move']","(-0.7167964577674866, -0.10522709041833878)","[104, 268]"
1.2118838,-0.51713055,vox,"['machina', 'party']","(1.211883783340454, -0.5171305537223816)","[201, 147]"
1.1814846,-0.6151326,machina,['vox'],"(1.181484580039978, -0.6151325702667236)",[200]
-0.6175379,-0.12805389,take,"['taking', 'takes', 'give', 'took']","(-0.6175379157066345, -0.12805388867855072)","[599, 477, 104, 322]"
-0.9059418,-0.58137566,need,"['want', 'should', 'do', 'll', 'think']","(-0.9059417843818665, -0.5813756585121155)","[3, 57, 1, 630, 311]"
-0.12709555,-0.594436,work,[],"(-0.1270955502986908, -0.59443598985672)",[]
0.91768116,-0.5768218,nicodranas,['zadash'],"(0.9176811575889587, -0.5768218040466309)",[872]
0.51148397,0.104180686,tavern,"['inn', 'shop', 'room']","(0.5114839673042297, 0.10418068617582321)","[158, 888, 241]"
-0.27265868,-0.16841044,come,"['bring', 'coming', 'came']","(-0.27265867590904236, -0.16841043531894684)","[103, 366, 793]"
-0.28825152,0.28312144,there,['here'],"(-0.28825151920318604, 0.2831214368343353)",[102]
-0.28713232,0.37021402,looking,"['look', 'looks', 'standing', 'looked']","(-0.2871323227882385, 0.3702140152454376)","[623, 169, 243, 233]"
0.61341864,-0.7733352,information,[],"(0.6134186387062073, -0.7733352184295654)",[]
-0.122134596,-0.084210336,caleb,"['nott', 'beau', 'jester', 'caduceus', 'fjord', 'yasha', 'frumpkin', 'molly', 'beauregard']","(-0.12213459610939026, -0.0842103362083435)","[857, 861, 858, 876, 111, 859, 1001, 1004, 991]"
0.44796997,-0.62962025,tells,"['asks', 'telling', 'told']","(0.4479699730873108, -0.6296202540397644)","[476, 809, 261]"
-0.0005394685,-0.56699157,heard,"['seen', 'hear', 'whispers']","(-0.0005394684849306941, -0.5669915676116943)","[224, 544, 1156]"
0.33269858,-0.6054436,working,[],"(0.3326985836029053, -0.6054435968399048)",[]
1.10524,-0.65080774,named,['young'],"(1.105239987373352, -0.6508077383041382)",[170]
0.23146066,0.079818375,few,"['couple', 'number', 'two', 'several', 'many', 'some']","(0.23146066069602966, 0.07981837540864944)","[716, 376, 30, 45, 360, 148]"
0.5619359,-0.8800722,months,"['weeks', 'years', 'days', 'ago', 'year', 'hours']","(0.5619359016418457, -0.8800721764564514)","[301, 190, 174, 218, 938, 761]"
0.6594133,-0.7115599,ago,"['years', 'months', 'weeks', 'year', 'days']","(0.6594132781028748, -0.7115598917007446)","[190, 217, 301, 938, 174]"
0.6806652,0.7201013,iron,[],"(0.6806651949882507, 0.7201012969017029)",[]
1.3257328,0.593567,district,"['city', 'emon']","(1.3257328271865845, 0.5935670137405396)","[122, 681]"
